MAC,Seg,Signal,minSignal,minSeg,totalSeg
40:f4:07:a2:f9:ba,1491.978271484375,-81.0,-81.0,1491.978271484375,0.0
da:a1:19:f9:aa:00,2253.365966796875,-81.0,-81.0,2253.365966796875,0.0
56:ae:e4:81:30:42,2975.656982421875,-81.0,-81.0,2975.656982421875,0.0
cc:fb:65:e3:9b:ce,3306.047607421875,-85.0,-85.0,3306.047607421875,0.0
de:1b:5f:d7:34:ff,79.86280059814453,-77.0,-77.0,79.86280059814453,0.0
34:80:b3:49:51:39,19.300674438476562,-83.0,-83.0,19.300674438476562,0.0
c8:69:cd:2c:01:5d,3288.377197265625,-73.0,-73.0,3288.370849609375,0.00634765625
a6:f2:29:65:c4:7f,1271.6695556640625,-83.0,-85.0,1271.6502685546875,0.019287109375
da:a1:19:a8:f0:d5,387.0564270019531,-81.0,-81.0,387.03619384765625,0.020233154296875
da:a1:19:07:ce:a6,747.1384887695312,-81.0,-81.0,747.1182250976562,0.020263671875
da:a1:19:96:92:37,1512.5587158203125,-79.0,-81.0,1512.5384521484375,0.020263671875
da:a1:19:a1:05:40,3356.40087890625,-79.0,-81.0,3356.380615234375,0.020263671875
7a:d7:4d:2d:d9:ed,1173.19189453125,-77.0,-79.0,1173.1700439453125,0.0218505859375
da:a1:19:89:64:10,26.976167678833008,-81.0,-83.0,26.949920654296875,0.026247024536132812
c6:60:5d:cb:dc:72,605.9822998046875,-75.0,-77.0,605.9549560546875,0.02734375
da:a1:19:e7:53:6a,2973.546142578125,-79.0,-83.0,2973.503662109375,0.04248046875
da:a1:19:af:aa:76,1150.5845947265625,-79.0,-85.0,1150.52197265625,0.0626220703125
00:f7:6f:d8:6d:d8,498.1058044433594,-73.0,-73.0,498.00250244140625,0.103302001953125
08:3d:88:4a:e3:4a,1436.1856689453125,-81.0,-85.0,1433.7847900390625,2.40087890625
48:e9:f1:1c:1b:1d,955.7362670898438,-71.0,-73.0,930.4431762695312,25.2930908203125
0e:8d:70:96:62:ea,1736.3968505859375,-77.0,-77.0,1601.4090576171875,134.98779296875
10:d3:8a:bb:0b:fb,1034.6007080078125,-63.0,-77.0,857.9601440429688,176.64056396484375
52:8d:2f:31:29:3e,2911.18408203125,-75.0,-77.0,2641.20849609375,269.9755859375
ae:cf:07:18:ef:41,2317.14599609375,-77.0,-77.0,2047.1676025390625,269.9783935546875
52:08:d3:0f:12:22,3420.51953125,-75.0,-77.0,3150.53955078125,269.97998046875
f6:0d:78:87:1d:19,1243.18115234375,-73.0,-77.0,973.1994018554688,269.98175048828125
4c:66:41:02:0d:37,1135.82275390625,-81.0,-83.0,685.5559692382812,450.26678466796875
be:f3:03:7f:6d:3c,1154.626953125,-77.0,-79.0,659.6446533203125,494.9822998046875
a6:a4:44:8c:07:51,792.1690673828125,-75.0,-77.0,252.21591186523438,539.953125
52:e2:e0:c0:a3:cb,556.9258422851562,-77.0,-83.0,16.935935974121094,539.9899291992188
f0:db:f8:a4:f3:d9,1178.4100341796875,-75.0,-79.0,610.773681640625,567.6363525390625
20:b3:99:81:dc:cc,695.8360595703125,-77.0,-87.0,0.5204640030860901,695.3156127929688
68:17:29:ef:1a:c8,1945.9578857421875,-67.0,-79.0,1241.15966796875,704.7982177734375
60:f1:89:4b:b0:e0,1650.20361328125,-77.0,-79.0,929.1151733398438,721.0884399414062
20:b3:99:81:dc:c8,972.27685546875,-75.0,-87.0,0.019909000024199486,972.2569580078125
c4:9a:02:75:31:b0,1812.54638671875,-75.0,-83.0,781.4113159179688,1031.135009765625
d0:0e:d9:46:12:c6,1725.0250244140625,-81.0,-83.0,524.9884643554688,1200.03662109375
88:70:8c:45:5c:28,1933.8228759765625,-81.0,-83.0,708.4703369140625,1225.3525390625
7c:91:22:17:7c:8e,2857.80029296875,-83.0,-85.0,1596.4478759765625,1261.3524169921875
84:2e:27:d7:f8:6b,2938.29052734375,-81.0,-85.0,1646.524658203125,1291.765869140625
98:97:d1:43:ec:7a,2938.22216796875,-81.0,-85.0,1577.6407470703125,1360.5814208984375
d8:90:e8:c6:81:7e,1424.72900390625,-71.0,-85.0,47.51164245605469,1377.2174072265625
f0:25:b7:3f:e1:8c,2061.66064453125,-77.0,-83.0,525.750244140625,1535.910400390625
c8:38:70:93:15:f9,2760.63525390625,-77.0,-81.0,1162.3702392578125,1598.2650146484375
d4:7b:b0:e3:44:8e,3160.719482421875,-83.0,-85.0,1464.844482421875,1695.875
44:00:10:d4:9a:54,3078.107177734375,-79.0,-85.0,1278.351806640625,1799.75537109375
ac:5f:3e:fc:2b:5a,3365.587646484375,-81.0,-87.0,1290.3294677734375,2075.25830078125
b4:ae:2b:2d:e8:b9,2892.356201171875,-69.0,-75.0,766.8088989257812,2125.54736328125
84:55:a5:b1:2a:37,3180.777587890625,-81.0,-87.0,1017.53076171875,2163.246826171875
00:26:86:00:00:00,3563.98046875,-63.0,-85.0,1231.3155517578125,2332.6650390625
e0:41:36:71:e9:5e,3574.408935546875,-63.0,-85.0,1229.9609375,2344.447998046875
18:3a:2d:58:7d:ee,2533.308837890625,-77.0,-81.0,65.18338012695312,2468.12548828125
1c:99:4c:d2:e5:de,2869.37548828125,-81.0,-83.0,255.7133331298828,2613.662109375
24:df:6a:b0:67:63,3524.74609375,-81.0,-85.0,811.9393310546875,2712.806640625
b4:18:d1:97:3b:24,2997.663330078125,-75.0,-79.0,109.73902893066406,2887.92431640625
98:97:d1:43:ec:7b,2946.3095703125,-79.0,-87.0,3.4512810707092285,2942.8583984375
60:e3:ac:ca:0e:4d,3471.496337890625,-75.0,-81.0,497.6551208496094,2973.84130859375
2c:9e:fc:0e:1b:4d,3080.3115234375,-81.0,-85.0,70.30575561523438,3010.005859375
44:d4:e0:32:ae:8b,3089.375244140625,-79.0,-85.0,0.08051799982786179,3089.294677734375
00:56:cd:da:1d:2a,3522.73291015625,-79.0,-85.0,385.76495361328125,3136.968017578125
54:72:4f:18:d4:3d,3582.15966796875,-75.0,-83.0,393.0465393066406,3189.113037109375
f0:27:65:78:0f:62,3571.227783203125,-73.0,-85.0,352.2207946777344,3219.007080078125
fc:c2:de:7e:79:67,3283.310791015625,-71.0,-85.0,59.68342590332031,3223.62744140625
e0:41:36:71:e9:5f,3583.34521484375,-61.0,-85.0,317.81048583984375,3265.53466796875
cc:c3:ea:38:fa:8e,3490.52294921875,-75.0,-79.0,221.0624542236328,3269.46044921875
70:a2:b3:bc:5e:52,3468.868896484375,-71.0,-83.0,164.89100646972656,3303.977783203125
f8:e0:79:11:d4:f3,3553.591552734375,-69.0,-71.0,239.3267822265625,3314.2646484375
20:b3:99:81:dc:ca,3314.6767578125,-77.0,-89.0,0.08295799791812897,3314.59375
20:b3:99:85:1a:b1,3316.906005859375,-79.0,-87.0,0.8449509739875793,3316.06103515625
20:b3:99:81:dc:c9,3333.55126953125,-77.0,-87.0,0.03174100071191788,3333.51953125
64:bc:0c:7a:49:58,3389.301025390625,-69.0,-73.0,46.2441520690918,3343.056884765625
a4:9a:58:eb:f2:2f,3427.30126953125,-69.0,-77.0,48.7188606262207,3378.58251953125
d8:b6:b7:0d:48:7d,3576.086181640625,-15.0,-83.0,170.6402587890625,3405.44580078125
d0:e1:40:91:9f:6a,3575.820068359375,-81.0,-87.0,132.8956298828125,3442.92431640625
94:4a:0c:4f:a6:74,3473.659423828125,-63.0,-75.0,26.530508041381836,3447.12890625
14:a3:64:17:86:55,3500.042236328125,-77.0,-83.0,39.2094612121582,3460.832763671875
20:b3:99:81:dc:cb,3467.281494140625,-77.0,-87.0,0.04449300095438957,3467.237060546875
88:30:8a:da:34:55,3552.06298828125,-81.0,-85.0,79.33990478515625,3472.72314453125
b4:18:d1:cf:03:55,3506.485595703125,-71.0,-83.0,1.8699719905853271,3504.61572265625
